Nom,Prix,Carburant,Modèle,CV,KM,Ville
PEUGEOT 3008,235.000 DH  VENDUE,Diesel,2019,8 cv,102.000 km,Rabat
MERCEDES Classe A,179.000 DH  VENDUE,Diesel,2013,7 cv,175.000 km,Fès
VOLKSWAGEN Golf,295.000 DH  VENDUE,Diesel,2018,8 cv,180.000 km,Kénitra
VOLVO XC60,250.000 DH  VENDUE,Diesel,2017,8 cv,129.000 km,Fès
VOLKSWAGEN Touareg,310.000 DH  VENDUE,Diesel,2018,12 cv,60.000 km,Casablanca
AUDI A5 SportBack,175.000 DH  VENDUE,Diesel,2014,8 cv,156.000 km,Casablanca
VOLKSWAGEN Jetta,187.000 DH  VENDUE,Diesel,2019,8 cv,103.000 km,Rabat
HONDA Civic Tourer,13.000 DH  VENDUE,Essence,1998,12 cv,280.456 km,Marrakech
PEUGEOT 301,113.000 DH  VENDUE,Diesel,2019,6 cv,62.000 km,Casablanca
BMW X2,295.000 DH  VENDUE,Diesel,2019,8 cv,77.000 km,Casablanca
SEAT Ibiza,180.000 DH  VENDUE,Essence,2023,7 cv,1.500 km,Agadir
VOLKSWAGEN Polo,67.000 DH  VENDUE,Diesel,2009,6 cv,270.000 km,Casablanca
PEUGEOT 3008,100.000 DH  VENDUE,Diesel,2012,6 cv,220.000 km,Marrakech
MINI Coupé,50.000 DH  VENDUE,Essence,2006,9 cv,240.000 km,Temara
AUDI Q3,220.000 DH  VENDUE,Diesel,2014,8 cv,90.000 km,Agadir
VOLVO XC60,355.000 DH  VENDUE,Diesel,2018,8 cv,140.000 km,Rabat
NISSAN Qashqai,195.000 DH  VENDUE,Diesel,2018,6 cv,42.000 km,Casablanca
MERCEDES CLS Coupé,225.000 DH  VENDUE,Diesel,2013,12 cv,210.000 km,Marrakech
TOYOTA Land Cruiser Prado,145.000 DH  VENDUE,Diesel,2007,12 cv,403.000 km,Casablanca
NISSAN Pathfinder,77.000 DH  VENDUE,Diesel,2006,10 cv,289.000 km,Casablanca
MERCEDES GLA,300.000 DH  VENDUE,Diesel,2017,8 cv,63.000 km,Casablanca
BMW Série 5,227.000 DH  VENDUE,Diesel,2015,8 cv,140.000 km,Casablanca
CHEVROLET Spark,42.000 DH  VENDUE,Essence,2011,5 cv,161.200 km,Safi
VOLKSWAGEN Golf,78.000 DH  VENDUE,Diesel,2008,8 cv,320.000 km,Tétouan
CITROEN C4,110.000 DH  VENDUE,Diesel,2013,6 cv,167.451 km,El Jadida
OPEL Crossland,175.000 DH  VENDUE,Diesel,2018,6 cv,28.000 km,Kénitra
HYUNDAI i20,128.000 DH  VENDUE,Essence,2019,8 cv,44.000 km,Meknès
DACIA Logan,90.000 DH  VENDUE,Diesel,2016,6 cv,111.000 km,Marrakech
MERCEDES Classe E,410.000 DH  VENDUE,Diesel,2017,cv,144.000 km,Rabat
FORD Fiesta,83.000 DH  VENDUE,Essence,2014,6 cv,145.000 km,Tiznit
TOYOTA C-HR,275.000 DH  VENDUE,Hybride,2022,10 cv,34.000 km,Rabat
AUDI A5 Coupé,110.000 DH  VENDUE,Diesel,2010,12 cv,232.000 km,El Jadida
TOYOTA Yaris,100.000 DH  VENDUE,Essence,2017,6 cv,83.000 km,Casablanca
FORD Focus Sedan,115.000 DH  VENDUE,Diesel,2013,6 cv,142.000 km,Fès
OPEL Astra,135.000 DH  VENDUE,Diesel,2016,7 cv,90.000 km,Casablanca
RENAULT Clio,135.000 DH  VENDUE,Diesel,2019,6 cv,63.000 km,Rabat
SEAT Ateca,230.000 DH  VENDUE,Diesel,2019,8 cv,152.000 km,Casablanca
HYUNDAI Santa Fe,80.000 DH  VENDUE,Diesel,2006,9 cv,221.000 km,Casablanca
HONDA Civic Berline,82.000 DH  VENDUE,Essence,2010,10 cv,189.800 km,Temara
VOLKSWAGEN Polo,81.000 DH  VENDUE,Essence,2011,7 cv,118.000 km,Tanger
PEUGEOT 3008,239.000 DH  VENDUE,Diesel,2019,8 cv,78.800 km,Casablanca
VOLKSWAGEN Polo,120.000 DH  VENDUE,Diesel,2017,7 cv,71.000 km,Rabat
RENAULT Mégane,55.000 DH  VENDUE,Diesel,2001,7 cv,363.063 km,Rabat
FORD Kuga,175.000 DH  VENDUE,Diesel,2017,8 cv,76.000 km,Casablanca
FIAT 500,165.000 DH  VENDUE,Essence,2021,7 cv,25.000 km,Rabat
VOLKSWAGEN Tiguan,225.000 DH  VENDUE,Diesel,2015,8 cv,160.000 km,Salé
MERCEDES Classe C,260.000 DH  VENDUE,Diesel,2014,9 cv,170.000 km,El Jadida
VOLKSWAGEN Golf,130.000 DH  VENDUE,Diesel,2013,6 cv,187.000 km,Khemissate
DACIA Sandero,135.000 DH  VENDUE,Diesel,2020,6 cv,62.000 km,Rabat
SEAT Ibiza,130.000 DH  VENDUE,Diesel,2018,6 cv,120.000 km,Temara
ALFA ROMEO Giulietta,162.000 DH  VENDUE,Diesel,2017,8 cv,118.000 km,Casablanca
BMW Série 2 Coupé,380.000 DH  VENDUE,Diesel,2021,8 cv,100.000 km,Fès
DACIA Logan,83.000 DH  VENDUE,Diesel,2017,6 cv,88.000 km,Rabat
OPEL Insignia,185.000 DH  VENDUE,Diesel,2018,8 cv,220.000 km,Casablanca
HONDA Civic Berline,46.000 DH  VENDUE,Essence,2002,cv,190.000 km,Casablanca
FORD Fiesta,69.000 DH  VENDUE,Essence,2011,7 cv,103.500 km,Casablanca
FIAT FullBack,175.000 DH  VENDUE,Diesel,2018,10 cv,128.000 km,Salé
MERCEDES Classe A,450.000 DH  VENDUE,Diesel,2020,8 cv,70.000 km,Casablanca
RENAULT Clio,110.000 DH  VENDUE,Diesel,2017,6 cv,74.000 km,Larache
VOLVO V40,230.000 DH  VENDUE,Diesel,2018,cv,53.000 km,Casablanca
VOLKSWAGEN Coccinelle,230.000 DH  VENDUE,Diesel,2019,8 cv,100.000 km,Casablanca
RENAULT Clio,98.000 DH  VENDUE,Diesel,2017,6 cv,132.000 km,Marrakech
CITROEN C4 Grand Picasso,79.000 DH  VENDUE,Diesel,2009,8 cv,223.444 km,Rabat
KIA Rio,110.000 DH  VENDUE,Diesel,2016,6 cv,24.000 km,Tanger
LEXUS ES,370.000 DH  VENDUE,Hybride,2019,9 cv,68.000 km,Casablanca
FIAT 500,85.000 DH  VENDUE,Diesel,2012,6 cv,149.000 km,Rabat
VOLVO XC60,250.000 DH  VENDUE,Diesel,2017,8 cv,129.000 km,Fès
HYUNDAI ix35,135.000 DH  VENDUE,Diesel,2012,8 cv,145.000 km,Tanger
RENAULT Laguna,40.000 DH  VENDUE,Diesel,2001,7 cv,1.500.000 km,Casablanca
PEUGEOT Rifter,190.000 DH  VENDUE,Diesel,2022,6 cv,90.000 km,Marrakech
SEAT Arona,230.000 DH  VENDUE,Diesel,2023,6 cv,15.000 km,Safi
HONDA Civic,94.000 DH  VENDUE,Essence,2012,cv,137.000 km,Casablanca
DACIA Sandero,60.000 DH  VENDUE,Diesel,2011,6 cv,180.000 km,Casablanca
RENAULT Mégane,235.000 DH  VENDUE,Diesel,2022,6 cv,12.000 km,Tanger
TOYOTA C-HR,210.000 DH  VENDUE,Hybride,2018,10 cv,46.000 km,Casablanca
SKODA Kodiaq,320.000 DH  VENDUE,Diesel,2020,8 cv,1.000 km,Casablanca
MASERATI Ghibli,300.000 DH  VENDUE,Diesel,2015,cv,83.000 km,Casablanca
AUDI A3 Berline,165.000 DH  VENDUE,Diesel,2015,6 cv,200.000 km,Marrakech
CITROEN C4 Picasso,125.000 DH  VENDUE,Diesel,2014,6 cv,160.000 km,Casablanca
FORD Fusion,210.000 DH  VENDUE,Diesel,2015,8 cv,170.000 km,Dakhla
MINI 3 portes,260.000 DH  VENDUE,Essence,2022,9 cv,2.300 km,Settat
FORD Fiesta,110.000 DH  VENDUE,Diesel,2016,6 cv,139.000 km,Marrakech
DACIA Sandero,155.000 DH  VENDUE,Diesel,2022,6 cv,11.000 km,Fès
AUDI A3 Sportback,610.000 DH  VENDUE,Diesel,2022,8 cv,21.000 km,Casablanca
PEUGEOT 308,137.000 DH  VENDUE,Diesel,2017,6 cv,67.000 km,Tanger
VOLKSWAGEN Polo,135.000 DH  VENDUE,Diesel,2017,6 cv,102.327 km,Casablanca
AUDI Q5,245.000 DH  VENDUE,Diesel,2013,12 cv,240.000 km,Casablanca
TOYOTA Auris,116.000 DH  VENDUE,Diesel,2014,6 cv,199.000 km,Casablanca
CITROEN C4 Cactus,170.000 DH  VENDUE,Diesel,2019,6 cv,21.000 km,Tanger
PEUGEOT 208,80.000 DH  VENDUE,Diesel,2018,6 cv,86.000 km,Salé
TOYOTA C-HR,230.000 DH  VENDUE,Hybride,2022,10 cv,39.900 km,Oujda
CHERY Tiggo,45.000 DH  VENDUE,Essence,2008,cv,250.000 km,Fès
HYUNDAI Elantra,145.000 DH  VENDUE,Diesel,2017,6 cv,132.000 km,Casablanca
SEAT Toledo,105.000 DH  VENDUE,Diesel,2013,6 cv,177.000 km,Rabat
HYUNDAI Tucson,260.000 DH  VENDUE,Diesel,2019,6 cv,59.000 km,Khénifra
RENAULT Mégane Sedan,153.000 DH  VENDUE,Diesel,2018,6 cv,155.000 km,Errachidia
VOLKSWAGEN Golf,320.000 DH  VENDUE,Diesel,2017,8 cv,175.000 km,Agadir
TOYOTA Corolla Prestige,178.000 DH  VENDUE,Hybride,2019,9 cv,115.000 km,Laayoune
NISSAN Qashqai,115.000 DH  VENDUE,Diesel,2012,cv,290.000 km,Casablanca
HYUNDAI Accent,43.000 DH  VENDUE,Essence,2008,8 cv,210.000 km,Casablanca
LAND ROVER Range Rover Sport,135.000 DH  VENDUE,Diesel,2010,12 cv,198.000 km,Casablanca
KIA Seltos,250.000 DH  VENDUE,Diesel,2022,6 cv,15.000 km,Agadir
CITROEN C3,128.000 DH  VENDUE,Diesel,2018,6 cv,60.000 km,Oujda
RENAULT Captur,230.000 DH  VENDUE,Essence,2022,8 cv,8.900 km,Salé
FORD Fiesta,115.000 DH  VENDUE,Diesel,2018,6 cv,92.580 km,Mohammadia
FIAT 500,122.000 DH  VENDUE,Essence,2018,7 cv,16.646 km,Casablanca
TOYOTA Corolla Berline,140.000 DH  VENDUE,Diesel,2018,6 cv,80.000 km,Fès
FORD Fiesta,115.000 DH  VENDUE,Diesel,2018,6 cv,91.000 km,Casablanca
VOLVO S60,140.000 DH  VENDUE,Diesel,2017,8 cv,140.000 km,Casablanca
VOLKSWAGEN Polo,77.000 DH  VENDUE,Essence,2011,cv,76.000 km,Casablanca
SKODA Kodiaq,305.000 DH  VENDUE,Diesel,2020,8 cv,69.000 km,Mohammadia
VOLKSWAGEN Caddy,89.000 DH  VENDUE,Diesel,2016,7 cv,122.000 km,Casablanca
CITROEN C3,50.000 DH  VENDUE,Essence,2010,6 cv,220.000 km,Rabat
CITROEN C5,90.000 DH  VENDUE,Diesel,2011,6 cv,350.000 km,Rabat
CITROEN C3,55.000 DH  VENDUE,Diesel,2006,6 cv,208.000 km,Taourirt
RENAULT Mégane,60.000 DH  VENDUE,Diesel,2010,6 cv,123.000 km,Laayoune
MERCEDES Classe E,220.000 DH  VENDUE,Diesel,2014,9 cv,218.000 km,Marrakech
DS DS5,220.000 DH  VENDUE,Diesel,2019,9 cv,57.000 km,Tétouan
AUDI A4,215.000 DH  VENDUE,Diesel,2014,8 cv,130.000 km,Casablanca
DACIA Sandero,69.000 DH  VENDUE,Diesel,2011,6 cv,138.900 km,Rabat
RENAULT Mégane,236.000 DH  VENDUE,Diesel,2022,6 cv,11.900 km,Tanger
BMW Série 5,210.000 DH  VENDUE,Diesel,2015,8 cv,194.000 km,Rabat
LAND ROVER Freelander,117.000 DH  VENDUE,Diesel,2011,8 cv,207.000 km,Casablanca
VOLKSWAGEN Golf,250.000 DH  VENDUE,Diesel,2020,8 cv,96.000 km,Kénitra
RENAULT Mégane,85.000 DH  VENDUE,Diesel,2009,6 cv,200.000 km,Tanger
CITROEN C4,135.000 DH  VENDUE,Diesel,2017,6 cv,69.000 km,Casablanca
MERCEDES Classe C,650.000 DH  VENDUE,Diesel,2023,11 cv,6.000 km,Fès
BMW Série 3,113.000 DH  VENDUE,Diesel,2009,8 cv,200.000 km,Casablanca
FORD Mondeo,50.000 DH  VENDUE,Diesel,2007,8 cv,231.000 km,Agadir
VOLKSWAGEN CC,115.000 DH  VENDUE,Diesel,2011,8 cv,280.000 km,Kénitra
BMW Série 3,215.000 DH  VENDUE,Diesel,2015,8 cv,187.000 km,Kénitra
NISSAN Tiida,58.000 DH  VENDUE,Essence,2010,cv,138.000 km,Kénitra
FIAT Doblo,85.000 DH  VENDUE,Diesel,2016,6 cv,168.000 km,Casablanca
OPEL Grandland,220.000 DH  VENDUE,Diesel,2019,6 cv,96.000 km,Tétouan
AUDI A4,175.000 DH  VENDUE,Diesel,2015,8 cv,102.000 km,Casablanca
BMW Série 2 Coupé,290.000 DH  VENDUE,Diesel,2017,8 cv,120.000 km,Casablanca
RENAULT Mégane Sedan,220.000 DH  VENDUE,Diesel,2021,6 cv,32.600 km,Marrakech
HYUNDAI Elantra,160.000 DH  VENDUE,Diesel,2018,6 cv,63.000 km,Temara
BMW X5,380.000 DH  VENDUE,Diesel,2019,8 cv,130.000 km,Rabat
MAHINDRA KUV 100,94.000 DH  VENDUE,Essence,2022,7 cv,24.900 km,Marrakech
MERCEDES Classe M,95.000 DH  VENDUE,Diesel,2023,12 cv,315.000 km,Agadir
OPEL Astra,125.000 DH  VENDUE,Diesel,2014,7 cv,158.000 km,Casablanca
MERCEDES Classe A,258.000 DH  VENDUE,Diesel,2017,9 cv,138.000 km,Casablanca
VOLKSWAGEN Touran,160.009 DH  VENDUE,Diesel,2014,6 cv,216.000 km,Casablanca
HYUNDAI i30,115.000 DH  VENDUE,Diesel,2012,6 cv,140.000 km,Casablanca
VOLKSWAGEN Tiguan,450.000 DH  VENDUE,Diesel,2021,cv,84.000 km,Rabat
FORD Mondeo,115.000 DH  VENDUE,Diesel,2012,8 cv,360.000 km,Marrakech
VOLKSWAGEN Tiguan,350.000 DH  VENDUE,Diesel,2019,8 cv,190.000 km,Casablanca
VOLKSWAGEN Golf,590.000 DH  VENDUE,Essence,2021,12 cv,40.000 km,Tanger
AUDI A6,285.000 DH  VENDUE,Diesel,2016,8 cv,112.000 km,Kénitra
SEAT Leon,228.000 DH  VENDUE,Diesel,2019,8 cv,25.000 km,Casablanca
MERCEDES Classe C,300.000 DH  VENDUE,Diesel,2015,9 cv,225.000 km,Fès
SKODA Kodiaq,295.000 DH  VENDUE,Diesel,2019,8 cv,32.000 km,Agadir
FORD C-Max,153.000 DH  VENDUE,Diesel,2018,6 cv,98.000 km,Casablanca
VOLKSWAGEN Tiguan,220.000 DH  VENDUE,Diesel,2017,8 cv,200.000 km,Casablanca
MERCEDES Classe C,110.000 DH  VENDUE,Diesel,2008,9 cv,238.000 km,Casablanca
NISSAN Qashqai,127.000 DH  VENDUE,Diesel,2013,6 cv,100.633 km,Marrakech
SUZUKI Grand Vitara,97.000 DH  VENDUE,Diesel,2012,7 cv,196.000 km,Fès
PEUGEOT 306,56.000 DH  VENDUE,Diesel,2001,7 cv,177.200 km,Rabat
ALFA ROMEO Giulietta,190.000 DH  VENDUE,Diesel,2018,6 cv,53.700 km,Casablanca
RENAULT Clio,115.000 DH  VENDUE,Diesel,2017,6 cv,77.000 km,Salé
MERCEDES Classe E,320.000 DH  VENDUE,Diesel,2017,8 cv,150.000 km,Marrakech
DACIA Sandero,169.000 DH  VENDUE,Diesel,2023,6 cv,11.000 km,Casablanca
HYUNDAI Accent,145.000 DH  VENDUE,Diesel,2020,6 cv,48.000 km,Berkane
AUDI A6,295.000 DH  VENDUE,Diesel,2018,8 cv,155.000 km,Casablanca
FORD Focus,228.000 DH  VENDUE,Diesel,2022,6 cv,14.800 km,Agadir
FIAT 500,125.000 DH  VENDUE,Essence,2018,7 cv,51.000 km,Casablanca
DACIA Duster,120.000 DH  VENDUE,Diesel,2017,6 cv,116.000 km,Marrakech
NISSAN Qashqai,250.000 DH  VENDUE,Essence,2022,7 cv,7.000 km,Casablanca
HYUNDAI Creta,158.000 DH  VENDUE,Diesel,2017,6 cv,109.000 km,Casablanca
MITSUBISHI Pajero Sport,125.000 DH  VENDUE,Diesel,2013,cv,210.000 km,Rabat
FORD Fusion,60.000 DH  VENDUE,Essence,2010,cv,143.000 km,Agadir
AUDI A6,255.000 DH  VENDUE,Diesel,2018,9 cv,155.000 km,Casablanca
NISSAN Juke,140.000 DH  VENDUE,Diesel,2017,6 cv,94.000 km,Casablanca
VOLKSWAGEN Jetta,145.000 DH  VENDUE,Diesel,2017,8 cv,160.000 km,Casablanca
ALFA ROMEO Stelvio,320.000 DH  VENDUE,,2019,9 cv,78.000 km,Casablanca
SEAT Ibiza,108.000 DH  VENDUE,Diesel,2015,6 cv,138.300 km,Oujda
FORD Focus,145.000 DH  VENDUE,Diesel,2016,6 cv,60.000 km,Casablanca
FORD Fiesta,135.000 DH  VENDUE,Diesel,2018,6 cv,22.000 km,Tanger
LAND ROVER Discovery Sport,283.000 DH  VENDUE,Diesel,2018,8 cv,81.000 km,Casablanca
RENAULT Mégane,83.000 DH  VENDUE,Diesel,2010,6 cv,279.000 km,Temara
OPEL Insignia,180.000 DH  VENDUE,Diesel,2019,8 cv,147.000 km,Rabat
VOLVO XC40,297.000 DH  VENDUE,Diesel,2018,8 cv,110.000 km,Mohammadia
RENAULT Mégane Sedan,222.000 DH  VENDUE,Diesel,2021,6 cv,32.500 km,Marrakech
FIAT Doblo,78.000 DH  VENDUE,Diesel,2012,6 cv,130.000 km,Salé
ALFA ROMEO Giulietta,115.000 DH  VENDUE,Diesel,2012,6 cv,168.000 km,Casablanca
PEUGEOT 208,120.000 DH  VENDUE,Diesel,2017,6 cv,82.000 km,Casablanca
TOYOTA Corolla Sport,200.000 DH  VENDUE,Hybride,2020,5 cv,52.000 km,Tanger
FORD Focus,155.000 DH  VENDUE,Diesel,2017,6 cv,155.000 km,Casablanca
FORD C-Max,158.000 DH  VENDUE,Diesel,2020,6 cv,79.000 km,Rabat
ALFA ROMEO Stelvio,330.000 DH  VENDUE,Diesel,2020,9 cv,68.000 km,Casablanca
DACIA Logan,87.000 DH  VENDUE,Diesel,2016,6 cv,85.000 km,Casablanca
AUDI A3 Sportback,310.000 DH  VENDUE,Diesel,2021,8 cv,9.000 km,Casablanca
AUDI A5 SportBack,160.000 DH  VENDUE,Diesel,2010,8 cv,147.000 km,Casablanca
DACIA Duster,180.000 DH  VENDUE,Diesel,2020,cv,147.500 km,Kénitra
VOLKSWAGEN Golf,199.000 DH  VENDUE,Diesel,2017,8 cv,143.000 km,Fès
CITROEN Berlingo,65.000 DH  VENDUE,Diesel,2009,cv,305.267 km,Casablanca
VOLKSWAGEN Golf,340.000 DH  VENDUE,Diesel,2017,8 cv,117.915 km,Casablanca
MERCEDES Classe B,80.000 DH  VENDUE,Diesel,2006,8 cv,221.175 km,Fès
SKODA Fabia,97.000 DH  VENDUE,Essence,2019,6 cv,120.000 km,Casablanca
FORD Focus Sedan,165.000 DH  VENDUE,Diesel,2018,6 cv,76.600 km,Salé
HYUNDAI Tucson,325.000 DH  VENDUE,Diesel,2021,6 cv,50.000 km,Casablanca
MERCEDES Classe C,165.000 DH  VENDUE,Diesel,2011,9 cv,157.000 km,Casablanca
AUDI A4,255.000 DH  VENDUE,Diesel,2017,8 cv,128.000 km,Rabat
RENAULT Captur,165.000 DH  VENDUE,Diesel,2019,6 cv,90.000 km,Casablanca
AUDI A3 Sportback,620.000 DH  VENDUE,Diesel,2022,8 cv,18.500 km,Casablanca
AUDI A4,240.000 DH  VENDUE,Diesel,2016,8 cv,170.000 km,Casablanca
MERCEDES Classe E Coupé,480.000 DH  VENDUE,Diesel,2018,8 cv,101.000 km,Rabat
MERCEDES GLE,650.000 DH  VENDUE,Diesel,2019,8 cv,61.000 km,El Jadida
SEAT Leon,140.000 DH  VENDUE,Diesel,2018,6 cv,87.000 km,Marrakech
SEAT Leon,140.000 DH  VENDUE,Diesel,2018,6 cv,87.000 km,Marrakech
VOLKSWAGEN Golf,168.000 DH  VENDUE,Diesel,2017,8 cv,107.500 km,Casablanca
BMW Série 3 Coupé,85.000 DH  VENDUE,Essence,2008,11 cv,209.000 km,Meknès
AUDI A4,90.000 DH  VENDUE,Essence,2009,10 cv,223.000 km,Meknès
DACIA Duster,188.000 DH  VENDUE,Diesel,2020,6 cv,36.000 km,Casablanca
TOYOTA Yaris,97.000 DH  VENDUE,Diesel,2016,5 cv,140.000 km,Rabat
VOLKSWAGEN Golf,115.000 DH  VENDUE,Diesel,2011,6 cv,230.000 km,Safi
MERCEDES Classe C,175.000 DH  VENDUE,Diesel,2009,8 cv,150.000 km,Rabat
VOLKSWAGEN Touareg,165.000 DH  VENDUE,Diesel,2013,12 cv,198.673 km,Agadir
BMW X6,110.000 DH  VENDUE,Diesel,2009,12 cv,207.000 km,Casablanca
PEUGEOT 508,105.000 DH  VENDUE,Diesel,2014,6 cv,188.000 km,Fès
FORD Focus,68.000 DH  VENDUE,Essence,2009,9 cv,74.000 km,Casablanca
MERCEDES Classe E,180.000 DH  VENDUE,Diesel,2010,8 cv,178.000 km,Tanger
BMW Série 5,73.000 DH  VENDUE,Diesel,2006,10 cv,200.000 km,Casablanca
AUDI A4,320.000 DH  VENDUE,Diesel,2018,8 cv,36.400 km,Casablanca
TOYOTA Yaris,74.000 DH  VENDUE,Essence,2012,6 cv,120.000 km,Casablanca
SEAT Leon,195.000 DH  VENDUE,Essence,2016,11 cv,114.000 km,Larache
FORD Kuga,165.000 DH  VENDUE,Diesel,2016,8 cv,99.600 km,Mohammadia
SUZUKI Jimny,210.000 DH  VENDUE,Essence,2021,8 cv,14.140 km,Marrakech
KIA Picanto,35.000 DH  VENDUE,Essence,2013,6 cv,125.000 km,Casablanca
FORD Kuga,280.000 DH  VENDUE,Diesel,2023,6 cv,1.300 km,Agadir
VOLKSWAGEN Polo,120.000 DH  VENDUE,Essence,2018,6 cv,31.000 km,Rabat
BMW Série 4 Cabriolet,350.000 DH  VENDUE,Diesel,2014,8 cv,71.000 km,Casablanca
HYUNDAI Tucson,330.000 DH  VENDUE,Diesel,2021,6 cv,40.000 km,Casablanca
FORD Focus,75.000 DH  VENDUE,Diesel,2006,7 cv,200.000 km,El Jadida
JEEP Renegade,195.000 DH  VENDUE,Diesel,2018,6 cv,119.260 km,Casablanca
LAND ROVER Range Rover Sport,95.000 DH  VENDUE,Diesel,2008,11 cv,260.000 km,Marrakech
OPEL Crossland,170.000 DH  VENDUE,Diesel,2019,6 cv,20.000 km,Casablanca
DS DS5,195.000 DH  VENDUE,Diesel,2017,6 cv,140.000 km,Casablanca
SEAT Ibiza,196.000 DH  VENDUE,Diesel,2021,6 cv,24.000 km,Rabat
KIA Sorento,55.000 DH  VENDUE,Diesel,2004,cv,365.975 km,Temara
DACIA Logan,170.000 DH  VENDUE,Diesel,2022,6 cv,11.066 km,Berkane
SEAT Leon,153.000 DH  VENDUE,Diesel,2019,6 cv,99.700 km,Casablanca
VOLKSWAGEN CC,255.000 DH  VENDUE,Diesel,2019,8 cv,82.000 km,Marrakech
VOLKSWAGEN Touareg,155.000 DH  VENDUE,Diesel,2012,12 cv,210.000 km,Casablanca
MERCEDES GLA,220.000 DH  VENDUE,Diesel,2016,6 cv,185.000 km,Marrakech
DACIA Logan,53.000 DH  VENDUE,Diesel,2010,6 cv,240.000 km,Marrakech
VOLKSWAGEN Gol,25.000 DH  VENDUE,Essence,2005,6 cv,215.000 km,Fès
BMW Série 4 Gran Coupé,250.000 DH  VENDUE,Diesel,2015,8 cv,152.000 km,Marrakech
DACIA Sandero,120.000 DH  VENDUE,Diesel,2018,6 cv,32.463 km,Meknès
MERCEDES Classe C,160.000 DH  VENDUE,Diesel,2012,9 cv,140.000 km,Marrakech
FORD Fiesta,105.000 DH  VENDUE,Diesel,2018,6 cv,131.000 km,El Jadida
JAGUAR XF,260.000 DH  VENDUE,Diesel,2016,8 cv,111.000 km,Mohammadia
VOLKSWAGEN CC,240.000 DH  VENDUE,Diesel,2019,8 cv,50.000 km,Casablanca
SKODA Karoq,200.000 DH  VENDUE,Diesel,2019,8 cv,232.000 km,Rabat
HYUNDAI i10,57.000 DH  VENDUE,Essence,2010,6 cv,128.000 km,Rabat
MERCEDES Classe B,145.000 DH  VENDUE,Diesel,2014,6 cv,90.000 km,Kénitra
FORD Kuga,270.000 DH  VENDUE,Diesel,2021,6 cv,17.000 km,Casablanca
FIAT Freemont,160.000 DH  VENDUE,Diesel,2016,cv,172.000 km,Sidi Kacem
VOLVO XC90,490.000 DH  VENDUE,Diesel,2022,9 cv,130.000 km,Marrakech
FORD Kuga,200.000 DH  VENDUE,Diesel,2019,6 cv,58.000 km,Kénitra
MERCEDES Classe A,255.000 DH  VENDUE,Diesel,2017,cv,175.000 km,Rabat
DACIA Dokker,113.000 DH  VENDUE,Diesel,2019,6 cv,90.000 km,Casablanca
TOYOTA RAV 4,200.000 DH  VENDUE,Diesel,2017,9 cv,145.000 km,Tanger
FORD C-Max,150.000 DH  VENDUE,Diesel,2015,6 cv,67.000 km,Dakhla
TOYOTA Yaris,140.000 DH  VENDUE,Essence,2021,6 cv,10.500 km,Tétouan
FIAT Panda,81.000 DH  VENDUE,Essence,2018,7 cv,122.000 km,Casablanca
RENAULT Kangoo,122.000 DH  VENDUE,Diesel,2018,6 cv,141.000 km,Tétouan
DACIA Dokker,125.000 DH  VENDUE,Diesel,2018,6 cv,142.000 km,Tétouan
RENAULT Clio,105.000 DH  VENDUE,Diesel,2017,6 cv,133.000 km,Rabat
RENAULT Clio,112.000 DH  VENDUE,Diesel,2016,6 cv,77.000 km,Casablanca
NISSAN Micra,147.000 DH  VENDUE,Diesel,2019,6 cv,20.265 km,Casablanca
HYUNDAI i40,166.000 DH  VENDUE,Diesel,2018,7 cv,86.000 km,Rabat
RENAULT Mégane,105.000 DH  VENDUE,Diesel,2015,6 cv,112.000 km,Salé
TOYOTA Verso,88.000 DH  VENDUE,Diesel,2007,9 cv,94.000 km,Casablanca
RENAULT Kadjar,169.000 DH  VENDUE,Diesel,2017,6 cv,95.000 km,Casablanca
JAGUAR XF,300.000 DH  VENDUE,Diesel,2018,8 cv,110.000 km,Marrakech
RENAULT Koleos,110.000 DH  VENDUE,Diesel,2014,8 cv,260.000 km,Rabat
RENAULT Mégane,166.000 DH  VENDUE,Diesel,2018,6 cv,63.000 km,Casablanca
HYUNDAI Tucson,237.000 DH  VENDUE,Diesel,2019,6 cv,106.000 km,Casablanca
SEAT Leon,159.000 DH  VENDUE,Diesel,2016,6 cv,120.000 km,Fès
RENAULT Clio,139.000 DH  VENDUE,Diesel,2019,6 cv,53.000 km,Taza
VOLKSWAGEN Tiguan,260.000 DH  VENDUE,Diesel,2018,8 cv,48.000 km,Safi
TOYOTA Avensis,82.000 DH  VENDUE,Diesel,2007,9 cv,253.000 km,Marrakech
VOLKSWAGEN Touareg,99.000 DH  VENDUE,Diesel,2010,10 cv,283.000 km,Marrakech
VOLKSWAGEN Polo,70.000 DH  VENDUE,Essence,2006,7 cv,280.000 km,Marrakech
MINI Countryman,135.000 DH  VENDUE,Essence,2012,9 cv,130.000 km,Marrakech
SEAT Leon,95.000 DH  VENDUE,Diesel,2011,8 cv,234.000 km,Salé
OPEL Astra,100.000 DH  VENDUE,Diesel,2023,6 cv,210.000 km,Agadir
SKODA Rapid,130.000 DH  VENDUE,Diesel,2015,cv,162.000 km,Marrakech
RENAULT Mégane,190.000 DH  VENDUE,Diesel,2020,6 cv,36.000 km,Safi
VOLKSWAGEN Golf,325.000 DH  VENDUE,Diesel,2017,8 cv,175.000 km,Agadir
