"name","price","marque_element","kilometrage_element","etat_element","nombre_portes_element","origine_element","modele_element","annee_modele_element","premiere_main_element","type_element","secteur_element","CVs","moteur","Manuelle"
Land Rover Range Rover dynamic plus Automatique,PRIX NON SPCIFI,Land Rover,110 000 - 119 999,Neuf,5,WW au Maroc,Range Rover,2014,Non,"Voitures d'occasion, à vendre",Safir,8 CV,Diesel,Automatique
fiat fiorino 2022,116000 DH,Fiat,25 000 - 29 999,Excellent,3,WW au Maroc,FIORINO,2022,Non,"Voitures d'occasion, à vendre",Ben M'sick,6 CV,Diesel,Manuelle
Porsche Macan S,540000 DH,Porsche,75 000 - 79 999,Excellent,,,Macan,2018,Oui,"Voitures d'occasion, à vendre",Maarif,12 CV,Diesel,Automatique
Kia Picanto 1.0i,PRIX NON SPCIFI,Kia,25 000 - 29 999,Neuf,5,WW au Maroc,Picanto,2023,Oui,"Voitures d'occasion, à vendre",Hay Riad,5 CV,Essence,Manuelle
KIFAL - HONDA Civic,200000 DH,Honda,180 000 - 189 999,,,,Civic,2018,,"Voitures d'occasion, à vendre",Autre secteur,9 CV,Essence,
Citroën C5 automatique,76000 DH,Citroen,5 000 - 9 999,Excellent,5,WW au Maroc,C5,2008,Non,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
KIFAL - FORD Kuga,152000 DH,Ford,150 000 - 159 999,,,,Kuga,2015,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Dacia Logan 1.0 Tce 100 CVT Essentiel,122000 DH,Dacia,50 000 - 54 999,Excellent,5,WW au Maroc,Logan,2022,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Essence,Automatique
Audi Q8 50 TDi S-line,PRIX NON SPCIFI,Audi,70 000 - 74 999,Excellent,5,WW au Maroc,Q8,2019,Oui,"Voitures d'occasion, à vendre",Oasis,12 CV,Diesel,Automatique
Porsche Cayenne Coupé turbo S 680cv e hybrid,1390000 DH,Porsche,75 000 - 79 999,Excellent,5,Importée neuve,cayenne_coupe,2020,Oui,"Voitures d'occasion, à vendre",Hay Hassani,28 CV,Essence,Automatique
Ford Focus Diesel Manuelle 2018 à Casablanca,184000 DH,Ford,50 000 - 54 999,Très bon,5,WW au Maroc,Focus,2018,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Diesel,Manuelle
Ford Kuga titanium,PRIX NON SPCIFI,Ford,160 000 - 169 999,Excellent,5,WW au Maroc,Kuga,2015,Non,"Voitures d'occasion, à vendre",Hay el Fath,8 CV,Diesel,Automatique
KIFAL - PEUGEOT 5008,212000 DH,Peugeot,95 000 - 99 999,,,,5008,2018,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Mini Paceman,165000 DH,mini,80 000 - 84 999,Excellent,3,Dédouanée,paceman,2015,Oui,"Voitures d'occasion, à vendre",Maarif,8 CV,Essence,Automatique
Land Rover Range Rover Sport Diesel Automatique,PRIX NON SPCIFI,Land Rover,45 000 - 49 999,Très bon,5,WW au Maroc,Range Rover Sport,2020,Oui,"Voitures d'occasion, à vendre",Alsace Lorraine,12 CV,Diesel,Automatique
Audi Q3 is line,PRIX NON SPCIFI,Audi,45 000 - 49 999,Neuf,5,WW au Maroc,Q3,2015,Non,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
KIFAL - MERCEDES-BENZ Classe C,170000 DH,Mercedes-Benz,180 000 - 189 999,,,,Classe C,2013,,"Voitures d'occasion, à vendre",Autre secteur,9 CV,Diesel,
Volks Wagen Golf 7 R Line,210000 DH,Volkswagen,100 000 - 109 999,Excellent,5,WW au Maroc,GOLF 7,2021,Oui,"Voitures d'occasion, à vendre",2 Mars,8 CV,Diesel,Automatique
KIFAL - PEUGEOT 5008,212000 DH,Peugeot,95 000 - 99 999,,,,5008,2018,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Mini Paceman,165000 DH,mini,80 000 - 84 999,Excellent,3,Dédouanée,paceman,2015,Oui,"Voitures d'occasion, à vendre",Maarif,8 CV,Essence,Automatique
Land Rover Range Rover Sport Diesel Automatique,PRIX NON SPCIFI,Land Rover,45 000 - 49 999,Très bon,5,WW au Maroc,Range Rover Sport,2020,Oui,"Voitures d'occasion, à vendre",Alsace Lorraine,12 CV,Diesel,Automatique
Audi Q3 is line,PRIX NON SPCIFI,Audi,45 000 - 49 999,Neuf,5,WW au Maroc,Q3,2015,Non,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
KIFAL - MERCEDES-BENZ Classe C,170000 DH,Mercedes-Benz,180 000 - 189 999,,,,Classe C,2013,,"Voitures d'occasion, à vendre",Autre secteur,9 CV,Diesel,
Volks Wagen Golf 7 R Line,210000 DH,Volkswagen,100 000 - 109 999,Excellent,5,WW au Maroc,GOLF 7,2021,Oui,"Voitures d'occasion, à vendre",2 Mars,8 CV,Diesel,Automatique
Kia Picanto Essence Manuelle 2021 à Rabat,PRIX NON SPCIFI,Kia,30 000 - 34 999,Très bon,5,WW au Maroc,Picanto,2021,Oui,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Essence,Manuelle
KIFAL - MASERATI Levante,450000 DH,Maserati,80 000 - 84 999,,,,Levante,2017,,"Voitures d'occasion, à vendre",Autre secteur,12 CV,Diesel,
Dacia Deustre 2020automq,176000 DH,Dacia,60 000 - 64 999,Très bon,5,WW au Maroc,Duster,2020,Oui,"Voitures d'occasion, à vendre",Ben M'sick,6 CV,Diesel,Automatique
Range Rover Sport Autobiographie,620000 DH,Land Rover,80 000 - 84 999,Excellent,5,Dédouanée,Range Rover Sport,2019,Oui,"Voitures d'occasion, à vendre",Maarif,12 CV,Diesel,Automatique
Dacia Sandero 2018 cart griz,97000 DH,Dacia,140 000 - 149 999,Très bon,,WW au Maroc,Sandero,2018,Non,"Voitures d'occasion, à vendre",Agadir Oufella,6 CV,Diesel,Manuelle
Audi Q3 40 TDI S-line,PRIX NON SPCIFI,Audi,85 000 - 89 999,Excellent,5,Importée neuve,Q3,2019,Oui,"Voitures d'occasion, à vendre",Oasis,8 CV,Diesel,Automatique
Dacia Duster,113000 DH,Dacia,110 000 - 119 999,Très bon,5,WW au Maroc,Duster,2013,Oui,"Voitures d'occasion, à vendre",Av Mokawama,6 CV,Diesel,Manuelle
L 200 double cabine 4x4,165000 DH,Mitsubishi,140 000 - 149 999,Très bon,5,WW au Maroc,L200,2018,Oui,"Voitures d'occasion, à vendre",Autre secteur,10 CV,Diesel,Manuelle
BMW Série 5 restylé Automatique 2014 à Rabat,PRIX NON SPCIFI,BMW,160 000 - 169 999,Très bon,5,WW au Maroc,Serie 5,2014,Non,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
BMW Série 1 Diesel Automatique 2018 à Casablanca,225000 DH,BMW,110 000 - 119 999,Excellent,5,WW au Maroc,Serie 1,2018,Oui,"Voitures d'occasion, à vendre",Anfa,6 CV,Diesel,Automatique
KIFAL - NISSAN Qashqai,190000 DH,Nissan,170 000 - 179 999,,,,Qashqai,2016,,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,
Fiat 500x cross,PRIX NON SPCIFI,Fiat,130 000 - 139 999,Excellent,5,WW au Maroc,500X,2016,Non,"Voitures d'occasion, à vendre",El Haouzia,8 CV,Diesel,Automatique
BMW X5 pack M,PRIX NON SPCIFI,BMW,65 000 - 69 999,Excellent,5,WW au Maroc,X5,2019,Oui,"Voitures d'occasion, à vendre",Aïn Chock,12 CV,Diesel,Automatique
Renault Clio4,119000 DH,Renault,60 000 - 64 999,Très bon,5,WW au Maroc,Clio,2015,Non,"Voitures d'occasion, à vendre",Hay el Fath,6 CV,Diesel,Manuelle
Mercedes-Benz Classe E Diesel Automatique 2017,PRIX NON SPCIFI,Mercedes-Benz,110 000 - 119 999,Très bon,5,Importée neuve,Classe E,2017,Oui,"Voitures d'occasion, à vendre",Agdal,8 CV,Diesel,Automatique
KIFAL - OPEL Grandland X,225000 DH,Opel,75 000 - 79 999,,,,Grandland X,2021,,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,
Volkswagen T-Roc Diesel Automatique 2023,PRIX NON SPCIFI,Volkswagen,25 000 - 29 999,Excellent,5,WW au Maroc,t-roc,2023,Oui,"Voitures d'occasion, à vendre",Bourgogne,8 CV,Diesel,Automatique
Skoda Octavia Faire Reprise,62000 DH,Skoda,300 000 - 349 999,Bon,5,,Octavia,2002,,"Voitures d'occasion, à vendre",Tilila,8 CV,Diesel,Manuelle
Mercedes Benz classe bluetec,PRIX NON SPCIFI,Mercedes-Benz,170 000 - 179 999,Excellent,5,Dédouanée,220,2014,Non,"Voitures d'occasion, à vendre",Centre,9 CV,Diesel,Manuelle
Dacia Sandero Stepway Essence Automatique 2023,155000 DH,Dacia,5 000 - 9 999,Excellent,5,WW au Maroc,sandero_stepway,2023,Oui,"Voitures d'occasion, à vendre",Californie,6 CV,Essence,Automatique
Citroen C4 Picasso 2018 - DERKAOUI AUTO,150000 DH,Citroen,90 000 - 94 999,Très bon,5,WW au Maroc,C4 Picasso,2018,Non,"Voitures d'occasion, à vendre",Val Fleuri,6 CV,Diesel,Manuelle
Mercedes-Benz Classe S350 pack AMG,600000 DH,Mercedes-Benz,95 000 - 99 999,Excellent,5,,Classe S,2018,Non,"Voitures d'occasion, à vendre",Maarif,12 CV,Diesel,Automatique
Renault Kango fin 2017,PRIX NON SPCIFI,Renault,40 000 - 44 999,Très bon,5,WW au Maroc,Kangoo,2017,Oui,"Voitures d'occasion, à vendre",Casablanca Finance City,6 CV,Diesel,Manuelle
Mercedes-Benz Classe A 200 Pack AMG Line plus,400000 DH,Mercedes-Benz,100 000 - 109 999,Excellent,5,Dédouanée,Classe A,2022,Oui,"Voitures d'occasion, à vendre",Maarif,8 CV,Diesel,Automatique
Range Rover Sport,710000 DH,Land Rover,70 000 - 74 999,Excellent,5,Dédouanée,Range Rover Sport,2022,Oui,"Voitures d'occasion, à vendre",Maarif,12 CV,Diesel,Automatique
KIFAL - BMW Série 3,232000 DH,BMW,75 000 - 79 999,,,,Serie 3,2016,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Range Rover Evoque,300000 DH,Land Rover,90 000 - 94 999,Excellent,5,,Range Rover Evoque,2019,Oui,"Voitures d'occasion, à vendre",Maarif,8 CV,Diesel,Automatique
فورد فيسطا عامرة تيطانيوم,115000 DH,Ford,95 000 - 99 999,Très bon,5,WW au Maroc,Fiesta,2018,Non,"Voitures d'occasion, à vendre",Hay Moulay Rachid 3,6 CV,Diesel,Manuelle
Sandero Stepway 2021,128000 DH,Dacia,75 000 - 79 999,Très bon,5,WW au Maroc,sandero_stepway,2021,Oui,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
Citroen C4 Picasso 2018 - DERKAOUI AUTO,150000 DH,Citroen,90 000 - 94 999,Très bon,5,WW au Maroc,C4 Picasso,2018,Non,"Voitures d'occasion, à vendre",Val Fleuri,6 CV,Diesel,Manuelle
Mercedes-Benz Classe S350 pack AMG,600000 DH,Mercedes-Benz,95 000 - 99 999,Excellent,5,,Classe S,2018,Non,"Voitures d'occasion, à vendre",Maarif,12 CV,Diesel,Automatique
Renault Kango fin 2017,PRIX NON SPCIFI,Renault,40 000 - 44 999,Très bon,5,WW au Maroc,Kangoo,2017,Oui,"Voitures d'occasion, à vendre",Casablanca Finance City,6 CV,Diesel,Manuelle
Mercedes-Benz Classe A 200 Pack AMG Line plus,400000 DH,Mercedes-Benz,100 000 - 109 999,Excellent,5,Dédouanée,Classe A,2022,Oui,"Voitures d'occasion, à vendre",Maarif,8 CV,Diesel,Automatique
Range Rover Sport,710000 DH,Land Rover,70 000 - 74 999,Excellent,5,Dédouanée,Range Rover Sport,2022,Oui,"Voitures d'occasion, à vendre",Maarif,12 CV,Diesel,Automatique
KIFAL - BMW Série 3,232000 DH,BMW,75 000 - 79 999,,,,Serie 3,2016,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Range Rover Evoque,300000 DH,Land Rover,90 000 - 94 999,Excellent,5,,Range Rover Evoque,2019,Oui,"Voitures d'occasion, à vendre",Maarif,8 CV,Diesel,Automatique
فورد فيسطا عامرة تيطانيوم,115000 DH,Ford,95 000 - 99 999,Très bon,5,WW au Maroc,Fiesta,2018,Non,"Voitures d'occasion, à vendre",Hay Moulay Rachid 3,6 CV,Diesel,Manuelle
Sandero Stepway 2021,128000 DH,Dacia,75 000 - 79 999,Très bon,5,WW au Maroc,sandero_stepway,2021,Oui,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
Hyundai i 30 Diesel Automatique 2016 à Casablanca,148000 DH,Hyundai,150 000 - 159 999,Excellent,5,WW au Maroc,i 30,2016,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Diesel,Automatique
Volkswagen Caddy Diesel Manuelle 2018 à Fès,159000 DH,Volkswagen,85 000 - 89 999,Excellent,5,WW au Maroc,Caddy,2018,Oui,"Voitures d'occasion, à vendre",Route de Meknes,6 CV,Diesel,Manuelle
citroen c3 Air cross,PRIX NON SPCIFI,Citroen,80 000 - 84 999,Neuf,5,WW au Maroc,C3 Aircross,2019,Non,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,Manuelle
Volkswagen Touareg Diesel Automatique 2019,PRIX NON SPCIFI,Volkswagen,95 000 - 99 999,Excellent,5,WW au Maroc,Touareg,2019,Oui,"Voitures d'occasion, à vendre",Aïn Chock,12 CV,Diesel,Automatique
Tiguan 2017,PRIX NON SPCIFI,Volkswagen,170 000 - 179 999,Neuf,5,Dédouanée,Tiguan,2017,Non,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Manuelle
Volvo XC90 Diesel Automatique 2021 à Casablanca,509000 DH,Volvo,45 000 - 49 999,Excellent,5,WW au Maroc,XC90,2021,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,8 CV,Diesel,Automatique
Kia Sportage Diesel Automatique 2019 à Casablanca,204000 DH,Kia,90 000 - 94 999,Excellent,5,WW au Maroc,Sportage,2019,Oui,"Voitures d'occasion, à vendre",Aïn Borja,8 CV,Diesel,Automatique
Ford kuga 2019,PRIX NON SPCIFI,Ford,90 000 - 94 999,Neuf,5,WW au Maroc,Kuga,2019,Non,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,Manuelle
KIFAL - VOLVO XC40,305000 DH,Volvo,95 000 - 99 999,,,,XC40,2020,,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,
Mercedes-Benz Classe E Diesel Automatique 2018,PRIX NON SPCIFI,Mercedes-Benz,5 000 - 9 999,Très bon,5,WW au Maroc,Classe E,2018,Oui,"Voitures d'occasion, à vendre",Derb Ghallef,8 CV,Diesel,Automatique
Audi Q5 Diesel Automatique 2017 à Tanger,450000 DH,Audi,90 000 - 94 999,Excellent,3,Importée neuve,Q5,2017,Oui,"Voitures d'occasion, à vendre",Moujahidine,8 CV,Diesel,Automatique
Octavia TT Opion Faire Reprise,108000 DH,Skoda,170 000 - 179 999,Bon,,,Octavia,2011,,"Voitures d'occasion, à vendre",Tilila,8 CV,Diesel,Manuelle
Fiat Doblo Diesel Manuelle 2015 à Casablanca,85000 DH,Fiat,170 000 - 179 999,Très bon,5,WW au Maroc,Doblo,2015,Oui,"Voitures d'occasion, à vendre",Aïn Chock,5 CV,Diesel,Manuelle
vente de voiture,65000 DH,Dacia,200 000 - 249 999,Excellent,5,WW au Maroc,Sandero,2010,Non,"Voitures d'occasion, à vendre",M'Hamid,6 CV,Diesel,Manuelle
Range Rover Vogue Autobiographie,310000 DH,Land Rover,110 000 - 119 999,Excellent,5,WW au Maroc,range_rover_vogue,2014,Oui,"Voitures d'occasion, à vendre",2 Mars,18 CV,Diesel,Automatique
Renault Clio mazot 6ch,32000 DH,Renault,120 000 - 129 999,Bon,5,WW au Maroc,Clio,1995,Non,"Voitures d'occasion, à vendre",Aïn Chock,6 CV,Diesel,Manuelle
Renault Megane Essence Manuelle 2003,45000 DH,Renault,250 000 - 299 999,Très bon,5,WW au Maroc,Megane,2003,Non,"Voitures d'occasion, à vendre",Toute la ville,4 CV,Essence,Manuelle
KIFAL - AUDI Q7,362000 DH,Audi,65 000 - 69 999,,,,Q7,2018,,"Voitures d'occasion, à vendre",Autre secteur,12 CV,Diesel,
Ford Focus,58000 DH,Ford,200 000 - 249 999,Très bon,5,WW au Maroc,Focus,2004,Non,"Voitures d'occasion, à vendre",Ahlane,7 CV,Diesel,Manuelle
KIFAL - MAZDA Mazda 6,200000 DH,Mazda,120 000 - 129 999,,,,6,2018,,"Voitures d'occasion, à vendre",Autre secteur,9 CV,Diesel,
داصيا ساندرو ديزل يدوي 2015 في الخميسات,76000 DH,Dacia,160 000 - 169 999,,,,Sandero,2015,,"Voitures d'occasion, à vendre",Toute la ville,6 CV,Diesel,Manuelle
Toyota corolla,123000 DH,Toyota,200 000 - 249 999,,,,Corolla,2014,,"Voitures d'occasion, à vendre",Hay Salam,5 CV,Diesel,
Fiat Panda 2019,83000 DH,Fiat,100 000 - 109 999,Excellent,3,WW au Maroc,Panda,2019,Oui,"Voitures d'occasion, à vendre",Wilaya,7 CV,Essence,Manuelle
Nissan XTrail,74000 DH,Nissan,190 000 - 199 999,Très bon,5,WW au Maroc,X-Trail,2007,Non,"Voitures d'occasion, à vendre",Ahlane,8 CV,Diesel,Manuelle
206 إصناص موديل 2008,PRIX NON SPCIFI,Peugeot,250 000 - 299 999,Excellent,5,WW au Maroc,206,2008,Non,"Voitures d'occasion, à vendre",Aïn Chock,8 CV,Essence,Manuelle
Volkswagen Passat,PRIX NON SPCIFI,Volkswagen,100 000 - 109 999,Excellent,5,Importée neuve,Passat,2017,Oui,"Voitures d'occasion, à vendre",Agdal,8 CV,Diesel,Automatique
Ford Focus,58000 DH,Ford,200 000 - 249 999,Très bon,5,WW au Maroc,Focus,2004,Non,"Voitures d'occasion, à vendre",Ahlane,7 CV,Diesel,Manuelle
KIFAL - MAZDA Mazda 6,200000 DH,Mazda,120 000 - 129 999,,,,6,2018,,"Voitures d'occasion, à vendre",Autre secteur,9 CV,Diesel,
داصيا ساندرو ديزل يدوي 2015 في الخميسات,76000 DH,Dacia,160 000 - 169 999,,,,Sandero,2015,,"Voitures d'occasion, à vendre",Toute la ville,6 CV,Diesel,Manuelle
Toyota corolla,123000 DH,Toyota,200 000 - 249 999,,,,Corolla,2014,,"Voitures d'occasion, à vendre",Hay Salam,5 CV,Diesel,
Fiat Panda 2019,83000 DH,Fiat,100 000 - 109 999,Excellent,3,WW au Maroc,Panda,2019,Oui,"Voitures d'occasion, à vendre",Wilaya,7 CV,Essence,Manuelle
Nissan XTrail,74000 DH,Nissan,190 000 - 199 999,Très bon,5,WW au Maroc,X-Trail,2007,Non,"Voitures d'occasion, à vendre",Ahlane,8 CV,Diesel,Manuelle
206 إصناص موديل 2008,PRIX NON SPCIFI,Peugeot,250 000 - 299 999,Excellent,5,WW au Maroc,206,2008,Non,"Voitures d'occasion, à vendre",Aïn Chock,8 CV,Essence,Manuelle
Volkswagen Passat,PRIX NON SPCIFI,Volkswagen,100 000 - 109 999,Excellent,5,Importée neuve,Passat,2017,Oui,"Voitures d'occasion, à vendre",Agdal,8 CV,Diesel,Automatique
Mercedes-Benz Classe CLS Diesel Automatique 2013,PRIX NON SPCIFI,Mercedes-Benz,160 000 - 169 999,Neuf,5,WW au Maroc,Classe CLS,2013,Oui,"Voitures d'occasion, à vendre",Hay el Fath,12 CV,Diesel,Automatique
Mercedes-Benz Classe C Diesel Automatique 2008,128000 DH,Mercedes-Benz,190 000 - 199 999,Bon,5,Dédouanée,Classe C,2008,Oui,"Voitures d'occasion, à vendre",Hay el Fath,9 CV,Diesel,Automatique
Opel Adam Essence Manuelle 2021 à Rabat,PRIX NON SPCIFI,Opel,10 000 - 14 999,Neuf,5,WW au Maroc,ADAM,2021,Non,"Voitures d'occasion, à vendre",Agdal,6 CV,Essence,Manuelle
Audi Q5 Diesel Automatique 2015 à Casablanca,228000 DH,Audi,150 000 - 159 999,Excellent,5,WW au Maroc,Q5,2015,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,8 CV,Diesel,Automatique
VW GOLF 7 GTD 2L 184 AUTOMATIQUE DOUANE16 TTOPTION,209000 DH,Volkswagen,180 000 - 189 999,Très bon,5,Dédouanée,GOLF 7,2014,Non,"Voitures d'occasion, à vendre",Centre,8 CV,Diesel,Automatique
Mercedes-Benz Classe CLA,539000 DH,Mercedes-Benz,95 000 - 99 999,Excellent,5,Dédouanée,Classe CLA,2023,Non,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
voiture bone etat dial basa7,165000 DH,Land Rover,200 000 - 249 999,Excellent,5,WW au Maroc,Range Rover Sport,2012,Non,"Voitures d'occasion, à vendre",Hay Dakhla,12 CV,Diesel,Automatique
Hyundai Accent Diesel Manuelle 2018 à Rabat,PRIX NON SPCIFI,Hyundai,130 000 - 139 999,Excellent,5,WW au Maroc,Accent,2018,Oui,"Voitures d'occasion, à vendre",Hassan,6 CV,Diesel,Manuelle
Peugeot 405 mazot 7ch,29000 DH,Peugeot,190 000 - 199 999,Bon,5,WW au Maroc,405,1994,Oui,"Voitures d'occasion, à vendre",Ain Sebaa,7 CV,Diesel,Manuelle
Audi Q8 Diesel Automatique 2019 à Mohammedia,790000 DH,Audi,130 000 - 139 999,Excellent,5,Importée neuve,Q8,2019,Non,"Voitures d'occasion, à vendre",Autre secteur,12 CV,Diesel,Automatique
Hyundai Accent Diesel Automatique 2019,PRIX NON SPCIFI,Hyundai,85 000 - 89 999,Excellent,5,WW au Maroc,Accent,2019,Oui,"Voitures d'occasion, à vendre",Bourgogne,6 CV,Diesel,Automatique
Mercedes-Benz Classe C Diesel Automatique 2018,348000 DH,Mercedes-Benz,140 000 - 149 999,Très bon,5,Dédouanée,Classe C,2018,Oui,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
Citron C5,37000 DH,Citroen,190 000 - 199 999,Très bon,5,WW au Maroc,C5,2002,Oui,"Voitures d'occasion, à vendre",Aïn Chock,8 CV,Diesel,Manuelle
BMW Série 3 Diesel Automatique 2019 à Rabat,PRIX NON SPCIFI,BMW,50 000 - 54 999,Très bon,5,WW au Maroc,Serie 3,2019,Oui,"Voitures d'occasion, à vendre",Autre secteur,8 CV,Diesel,Automatique
Hyundai H-1 Diesel Manuelle 2010 à Rabat,87000 DH,Hyundai,250 000 - 299 999,Excellent,5,WW au Maroc,H-1,2010,Non,"Voitures d'occasion, à vendre",Yacoub El Mansour,10 CV,Diesel,Manuelle
Hyundai ix 35 TT Option Faire Reprise,138000 DH,Hyundai,160 000 - 169 999,Bon,5,WW au Maroc,ix 35,2012,Oui,"Voitures d'occasion, à vendre",Tilila,8 CV,Diesel,Manuelle
Mercedes-Benz Classe A 200 cdi pack amg,PRIX NON SPCIFI,Mercedes-Benz,70 000 - 74 999,Excellent,5,Importée neuve,Classe A,2021,Oui,"Voitures d'occasion, à vendre",Oulfa,8 CV,Diesel,Automatique
Dacia Sandero Stepway Diesel Manuelle 2022 à Rabat,PRIX NON SPCIFI,Dacia,15 000 - 19 999,Excellent,5,WW au Maroc,sandero_stepway,2022,Oui,"Voitures d'occasion, à vendre",Hassan,6 CV,Diesel,Manuelle
Hyundai i10 Automatique 2023 - DERKAOUI AUTO,135000 DH,Hyundai,20 000 - 24 999,Neuf,5,WW au Maroc,Grand i10,2023,Oui,"Voitures d'occasion, à vendre",Val Fleuri,6 CV,Essence,Automatique
MERCEDES C220 COUPÉ,PRIX NON SPCIFI,Mercedes-Benz,120 000 - 129 999,Neuf,3,Importée neuve,CLASSE C COUPE,2016,Oui,"Voitures d'occasion, à vendre",Hay Riad,8 CV,Diesel,Automatique
je mais vendre voiture hyundai Tucson,PRIX NON SPCIFI,Hyundai,85 000 - 89 999,Neuf,5,WW au Maroc,Tucson,2020,Oui,"Voitures d'occasion, à vendre",Oulfa,6 CV,Diesel,Automatique
KIFAL - MAHINDRA KUV 100,100000 DH,Mahindra,55 000 - 59 999,,,,kuv_100,2019,,"Voitures d'occasion, à vendre",Autre secteur,5 CV,Diesel,
Mercedes Classe E 300de Hybride,PRIX NON SPCIFI,Mercedes-Benz,0 - 4 999,Neuf,5,Importée neuve,Classe E,2024,Oui,"Voitures d'occasion, à vendre",Route de Casablanca,8 CV,,Automatique
je mais vendre voiture Renault Clio 4 otomatique,PRIX NON SPCIFI,Renault,120 000 - 129 999,Très bon,5,WW au Maroc,Clio,2019,Oui,"Voitures d'occasion, à vendre",Aïn Chock,6 CV,Diesel,Automatique
Hyundai Santa Fe Diesel Automatique 2019,PRIX NON SPCIFI,Hyundai,90 000 - 94 999,Excellent,5,WW au Maroc,Santa Fe,2019,Oui,"Voitures d'occasion, à vendre",Hay Laymouna,9 CV,Diesel,Automatique
Audi A3 Diesel Automatique 2013 à Casablanca,195000 DH,Audi,140 000 - 149 999,Excellent,5,Dédouanée,A3,2013,Non,"Voitures d'occasion, à vendre",Ain Sebaa,8 CV,Diesel,Automatique
Audi A5 Sportback Diesel Automatique 2013 à Agadir,180000 DH,Audi,190 000 - 199 999,Excellent,,Dédouanée,a5_sportback,2013,,"Voitures d'occasion, à vendre",Tilila,8 CV,Diesel,Automatique
Audi Q3 Diesel Automatique 2015 à Casablanca,PRIX NON SPCIFI,Audi,120 000 - 129 999,Excellent,5,WW au Maroc,Q3,2015,Non,"Voitures d'occasion, à vendre",Aïn Chock,8 CV,Diesel,Automatique
Porsche Cayenne Diesel Automatique 2016,PRIX NON SPCIFI,Porsche,120 000 - 129 999,Excellent,5,Importée neuve,Cayenne,2016,Oui,"Voitures d'occasion, à vendre",Aïn Chock,12 CV,Diesel,Automatique
Mercedes-Benz Classe GLE Coupé 350d Pack AMG,PRIX NON SPCIFI,Mercedes-Benz,90 000 - 94 999,Excellent,5,Importée neuve,classe_gle_coupe,2017,Oui,"Voitures d'occasion, à vendre",Oasis,12 CV,Diesel,Automatique
Renault Megane 4 Diesel Automatique 2018 à Rabat,PRIX NON SPCIFI,Renault,90 000 - 94 999,Excellent,5,WW au Maroc,megane_4,2018,Oui,"Voitures d'occasion, à vendre",Hassan,6 CV,Diesel,Automatique
Renault Kadjar Diesel Automatique 2017,195000 DH,Renault,80 000 - 84 999,Excellent,5,WW au Maroc,Kadjar,2017,Oui,"Voitures d'occasion, à vendre",Autre secteur,6 CV,Diesel,Automatique
Logan Diesel Faire Reprise,92000 DH,Dacia,130 000 - 139 999,Bon,5,WW au Maroc,Logan,2017,Non,"Voitures d'occasion, à vendre",Tilila,6 CV,Diesel,Manuelle
Renault Kadjar Diesel Automatique 2020,225000 DH,Renault,110 000 - 119 999,,,,Kadjar,2020,,"Voitures d'occasion, à vendre",Ain Sebaa,6 CV,Diesel,Automatique
Kia Picanto Essence Automatique 2007 à Tanger,65000 DH,Kia,120 000 - 129 999,Très bon,5,WW au Maroc,Picanto,2007,Non,"Voitures d'occasion, à vendre",Ahlane,6 CV,Essence,Automatique
Land Rover Range Rover Evoque Diesel Automatique,PRIX NON SPCIFI,Land Rover,190 000 - 199 999,Neuf,5,WW au Maroc,Range Rover Evoque,2013,Oui,"Voitures d'occasion, à vendre",Hay Riad,8 CV,Diesel,Automatique
Dacia Duster Diesel Manuelle 2021 à Agadir,PRIX NON SPCIFI,Dacia,70 000 - 74 999,Excellent,5,WW au Maroc,Duster,2021,Oui,"Voitures d'occasion, à vendre",Av Mokawama,6 CV,Diesel,Manuelle
Renault Mégane 4,163000 DH,Renault,100 000 - 109 999,Excellent,5,WW au Maroc,megane_4,2018,Non,"Voitures d'occasion, à vendre",Ezzohor,6 CV,Diesel,Automatique
